lr,batch_size,hidden_size,iter_fc,epoch,train_loss,val_loss,phase
0.01,16,64,16,1,2.4658754327254635,0.48189301159232856,tune
0.01,16,64,16,2,0.41534581309450525,0.5028097900748253,tune
0.01,16,64,16,3,0.4130174668026822,0.47926184847950937,tune
0.01,16,64,16,4,0.41564725056290625,0.6325512744486332,tune
0.01,16,64,16,5,0.42445325265505485,0.47869233168661596,tune
0.01,16,64,16,6,0.4227291484150503,0.49320182094350457,tune
0.01,16,64,16,7,0.42794729924095526,0.47814140632748603,tune
0.01,16,64,16,8,0.4216452631939735,0.47718449641019106,tune
0.01,16,64,16,9,0.42605298189180235,0.5499689171463251,tune
0.01,16,64,16,10,0.4241368284901338,0.5045416382327675,tune
0.01,16,64,16,11,0.42647819142256466,0.4934496184438467,tune
0.01,16,64,16,12,0.4237379874448691,0.49351229205727576,tune
0.01,16,64,16,13,0.41903462364737476,0.49055520743131636,tune
0.01,16,64,32,1,0.8944144377192216,0.49228342831134797,tune
0.01,16,64,32,2,0.4397072339749762,0.4780303046293557,tune
0.01,16,64,32,3,0.4391372456827334,0.47796713531017304,tune
0.01,16,64,32,4,0.43185647812805006,0.49318099541589616,tune
0.01,16,64,32,5,0.4417223237082362,0.6486683242022991,tune
0.01,16,64,32,6,0.4387320924656732,0.5202056851238013,tune
0.01,16,64,32,7,0.4315234743963395,0.4899279657378793,tune
0.01,16,64,32,8,0.43018556108698247,0.474298456273973,tune
0.01,16,64,32,9,0.42264616999775173,0.47120316250249744,tune
0.01,16,64,32,10,0.4195082609940852,0.4958005077950656,tune
0.01,16,64,32,11,0.4179528772032687,0.4660521359741688,tune
0.01,16,64,32,12,0.42009218133453813,0.4787681494653225,tune
0.01,16,64,32,13,0.4347972390002438,0.4754183256067336,tune
0.01,16,64,32,14,0.4187591407873801,0.48161253608763216,tune
0.01,16,64,32,15,0.4155071621015668,0.47200960480608045,tune
0.01,16,64,32,16,0.419671429656446,0.49553023602813484,tune
0.01,16,128,16,1,1.7132298439395215,0.48870898261666296,tune
0.01,16,128,16,2,0.419773527495563,0.4785148445703089,tune
0.01,16,128,16,3,0.4413834862251367,0.47818180587142706,tune
0.01,16,128,16,4,0.43320630504084484,0.4838577316142619,tune
0.01,16,128,16,5,0.4320349479253803,0.5445236600376666,tune
0.01,16,128,16,6,0.4345783854701689,0.4802766218781471,tune
0.01,16,128,16,7,0.4316440169460007,0.5365612436085939,tune
0.01,16,128,16,8,0.4253648738722716,0.4835000981390476,tune
0.01,16,128,32,1,3.1905271634885244,0.4807779919728637,tune
0.01,16,128,32,2,0.41860542966851166,0.5516261453926563,tune
0.01,16,128,32,3,0.4301024957799486,0.4841994317620993,tune
0.01,16,128,32,4,0.42589634061657955,0.4802597157098353,tune
0.01,16,128,32,5,0.4325865204951593,0.4879962857067585,tune
0.01,16,128,32,6,0.42924586234880346,0.4791152390278876,tune
0.01,16,128,32,7,0.423482206083302,0.4859266803599894,tune
0.01,16,128,32,8,0.42940610749913116,0.4809886416234076,tune
0.01,16,128,32,9,0.4265482631219285,0.4877640624344349,tune
0.01,16,128,32,10,0.4267450439184904,0.4945505924895406,tune
0.01,16,128,32,11,0.42999299684273345,0.49170745169743896,tune
0.01,32,64,16,1,1.9297237819007464,0.5407696604728699,tune
0.01,32,64,16,2,0.448030711135694,0.49325948998332025,tune
0.01,32,64,16,3,0.42530123846871515,0.47581083089113235,tune
0.01,32,64,16,4,0.4133726333933217,0.45438223719596865,tune
0.01,32,64,16,5,0.40106215227927483,0.4359007578343153,tune
0.01,32,64,16,6,0.3974391286287989,0.42059046976268294,tune
0.01,32,64,16,7,0.386368173956871,0.44389353051781655,tune
0.01,32,64,16,8,0.3669933882994311,0.3907897789776325,tune
0.01,32,64,16,9,0.3425679244739669,0.3900387489795685,tune
0.01,32,64,16,10,0.29231867841311865,0.3961725539714098,tune
0.01,32,64,16,11,0.26940781069653374,0.3759154274314642,tune
0.01,32,64,16,12,0.3264090897994382,0.392922914326191,tune
0.01,32,64,16,13,0.28186086054359166,0.2716451653838158,tune
0.01,32,64,16,14,0.25419325700828005,0.21287712149322033,tune
0.01,32,64,16,15,0.27135794628943716,0.2799010701477528,tune
0.01,32,64,16,16,0.24385080352425575,0.22035106807947158,tune
0.01,32,64,16,17,0.18265775061079434,0.1569028191268444,tune
0.01,32,64,16,18,0.17063289386885508,0.19847592584788798,tune
0.01,32,64,16,19,0.33322213449648447,0.48742369294166565,tune
0.01,32,64,16,20,0.4122354686898845,0.4810135156661272,tune
0.01,32,64,16,21,0.41294136632766043,0.4803676392883062,tune
0.01,32,64,16,22,0.4117493167093822,0.47700150214135645,tune
0.01,32,64,32,1,0.8992901791632175,0.49945971608161926,tune
0.01,32,64,32,2,0.4436015588896615,0.47618574857711793,tune
0.01,32,64,32,3,0.41737477632505554,0.4680444983392954,tune
0.01,32,64,32,4,0.4041165079815047,0.4597393149137497,tune
0.01,32,64,32,5,0.39270279901368277,0.45804807960987093,tune
0.01,32,64,32,6,0.3860428993723222,0.40909212961792946,tune
0.01,32,64,32,7,0.36092590117028783,0.5016633567214012,tune
0.01,32,64,32,8,0.4196633185659136,0.5007882225513458,tune
0.01,32,64,32,9,0.42392294753875054,0.4903384368121624,tune
0.01,32,64,32,10,0.4154992226191929,0.47687034636735914,tune
0.01,32,64,32,11,0.4237464784298624,0.4890500994026661,tune
0.01,32,128,16,1,0.8293398341536522,0.48567363023757937,tune
0.01,32,128,16,2,0.42101140093590533,0.5273994506895542,tune
0.01,32,128,16,3,0.42150471584073135,0.4737755835801363,tune
0.01,32,128,16,4,0.4111261876140322,0.4642840550094843,tune
0.01,32,128,16,5,0.4081349897597517,0.5262976129353046,tune
0.01,32,128,16,6,0.40233303738491877,0.4769198405742645,tune
0.01,32,128,16,7,0.40010303124785424,0.4868929436802864,tune
0.01,32,128,16,8,0.4155285268170493,0.48307236537337306,tune
0.01,32,128,16,9,0.4213064385950565,0.599157904535532,tune
0.01,32,128,32,1,1.0000622008740903,0.49114398822188376,tune
0.01,32,128,32,2,0.4149130695419652,0.4726992781460285,tune
0.01,32,128,32,3,0.4128101701395852,0.4609203591942787,tune
0.01,32,128,32,4,0.40530320493238314,0.417633031308651,tune
0.01,32,128,32,5,0.367186165196555,0.3873110082745552,tune
0.01,32,128,32,6,0.3406433077795165,0.24359797544777392,tune
0.01,32,128,32,7,0.3477909897054945,0.39989695891737936,tune
0.01,32,128,32,8,0.3454532090893814,0.4029396219551563,tune
0.01,32,128,32,9,0.3567352003071989,0.43226940780878065,tune
0.01,32,128,32,10,0.34696914330124856,0.3452874457091093,tune
0.01,32,128,32,11,0.3300822435745171,0.4294682690501213,tune
0.001,16,64,16,1,1.9053112529005323,0.5306239230185748,tune
0.001,16,64,16,2,0.42801592393645216,0.47095391623675825,tune
0.001,16,64,16,3,0.40639622476484094,0.4889527264237404,tune
0.001,16,64,16,4,0.3935576044129474,0.4444278961420059,tune
0.001,16,64,16,5,0.3961132801111255,0.4443476455658674,tune
0.001,16,64,16,6,0.3639179557242564,0.37258412573486566,tune
0.001,16,64,16,7,0.3628423849812576,0.40220255210995676,tune
